organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act	number_records	gb_records	bags_grade	species_status	bin_uris	otu_ids	other_names
NBNORG0000101746	NHMSYS0021126481	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Oncopsis	Oncopsis subangulata	(J.Sahlberg, 1871)	Species	Oncopsis fortior		Y					1				herbivore	herbivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Betula																									0	0	F	BLACK			
NBNORG0000101747	NHMSYS0020705780	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Oncopsis	Oncopsis tristis	(Zetterstedt, 1840)	Species	Oncopsis fenestrata;Oncopsis rufuscula		Y					1				herbivore	herbivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Betula																									0	0	F	BLACK			
NBNORG0000115965	NHMSYS0021109744	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus clarki	(Richardson, 1836)	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000037558	NBNSYS0000184909	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus gorbuscha	(Walbaum, 1792)	Species	Onchorhynchus gorbuscha	Y	Y	Y	Y		Y																																					0	0	F	BLACK			
NBNORG0000037559	NBNSYS0000184910	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus kisutch	(Walbaum, 1792)	Species		Y	Y		Y																																							0	0	F	BLACK			
NBNORG0000061619	NHMSYS0000544715	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus mykiss	(Walbaum, 1792)	Species	Salmo gairdneri	Y	Y	Y	Y		Y																																					0	0	F	BLACK			
NBNORG0000055509	NHMSYS0000461177	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Oncosiphon	Oncosiphon grandiflorum	(Thunb.) Källersjö	Species	Matricaria grandiflorum;Pentzia grandiflorum	Y	Y																																									0	0	F	BLACK			
NBNORG0000055510	NHMSYS0000461178	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Oncosiphon	Oncosiphon piluliferum	(L.f.) Källersjö	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000055511	NHMSYS0000461179	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Oncosiphon	Oncosiphon suffruticosus	(L.) Källersjö	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000003910	BMSSYS0000012373	Fungi	Ascomycota				Oncospora	Oncospora pinastri	(Sacc.) Died.	Species	Cenangium pinastri		Y																																									0	0	F	BLACK			
NBNORG0000095398	NHMSYS0020309555	Animalia	Arthropoda	Insecta	Hemiptera	Miridae	Oncotylus	Oncotylus (Oncotylus) viridiflavus	(Goeze, 1778)	Species	Oncotylus setulosus;Oncotylus viridiflavus		Y					1				herbivore	herbivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Centaurea																									0	0	F	BLACK			
NBNORG0000031340	NBNSYS0000176834	Animalia	Bryozoa	Stenolaemata	Cyclostomatida	Oncousoeciidae	Oncousoecia	Oncousoecia diastoporides	(Norman, 1869)	Species					Y																																							0	0	F	BLACK			
NBNORG0000031341	NBNSYS0000176835	Animalia	Bryozoa	Stenolaemata	Cyclostomatida	Oncousoeciidae	Oncousoecia	Oncousoecia dilatans	(Johnston, 1847)	Species	Eurystrotos compacta;Oncousoecia dilitans				Y																																							0	0	F	BLACK			
NBNORG0000024868	NBNSYS0000040193	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Ondatra	Ondatra zibethicus	(Linnaeus, 1766)	Species	Castor zibethicus	Y	Y	Y			Y																																					0	0	F	BLACK			
NBNORG0000131696	NHMSYS0021292969	Animalia	Arthropoda	Arachnida	Mesostigmata	Laelapidae	Ondatralaelaps	Ondatralaelaps multispinosa	(Banks, 1909)	Species			Y																																									0	0	F	BLACK			
NBNORG0000037563	NHMSYS0021055953	Animalia	Mollusca	Gastropoda		Pyramidellidae	Ondina	Ondina coarctata	(G.O. Sars, 1878)	Species					Y																																							0	0	F	BLACK			
NBNORG0000031342	NBNSYS0000176836	Animalia	Mollusca	Gastropoda		Pyramidellidae	Ondina	Ondina diaphana	(Jeffreys, 1848)	Species	Menestho diaphana;Odostomia perezi				Y																																							0	0	F	BLACK			
NBNORG0000123663	NHMSYS0021184816	Animalia	Mollusca	Gastropoda		Pyramidellidae	Ondina	Ondina dilucida	(Monterosato, 1884)	Species					Y																																							0	0	F	BLACK			
NBNORG0000031343	NHMSYS0021055954	Animalia	Mollusca	Gastropoda		Pyramidellidae	Ondina	Ondina divisa	(J. Adams, 1797)	Species	Menestho divisa;Ondina insculpta				Y																																							0	0	F	BLACK			
NBNORG0000123664	NHMSYS0021184817	Animalia	Mollusca	Gastropoda		Pyramidellidae	Ondina	Ondina mosti	van Aartsen, Gittenberger & Goud, 1998	Species					Y																																							0	0	F	BLACK			
NBNORG0000037564	NBNSYS0000184915	Animalia	Mollusca	Gastropoda		Pyramidellidae	Ondina	Ondina normani	(Friele, 1886)	Species					Y																																							0	0	F	BLACK			
NBNORG0000037565	NBNSYS0000184916	Animalia	Mollusca	Gastropoda		Pyramidellidae	Ondina	Ondina obliqua	(Alder, 1844)	Species					Y																																							0	0	F	BLACK			
NBNORG0000037566	NHMSYS0021055955	Animalia	Mollusca	Gastropoda		Pyramidellidae	Ondina	Ondina perezi	(Dautzenberg & Fisher, 1925)	Species					Y																																							0	0	F	BLACK			
NBNORG0000031344	NBNSYS0000176839	Animalia	Mollusca	Gastropoda		Pyramidellidae	Ondina	Ondina warreni	(Thompson, 1845)	Species	Menestho warreni				Y																																							0	0	F	BLACK			
NBNORG0000051193	NHMSYS0000328992	Animalia	Chordata	Actinopterygii	Lophiiformes	Oneirodidae	Oneirodes	Oneirodes carlsbergi	(Regan & Trewavas, 1932)	Species					Y																																							0	0	F	BLACK			
NBNORG0000051194	NHMSYS0000328993	Animalia	Chordata	Actinopterygii	Lophiiformes	Oneirodidae	Oneirodes	Oneirodes eschrichtii	Lütken, 1871	Species					Y																																							0	0	F	BLACK			
NBNORG0000010731	NBNSYS0000008561	Animalia	Arthropoda	Malacostraca	Isopoda	Oniscidae	Oniscus	Oniscus asellus	Linnaeus, 1758	Species	Oniscus asellus asellus;Oniscus asellus occidentalis;Oniscus fossor;Oniscus murarius		Y		Y			1		LC	IUCN Threat listing (1)																		RedList_GB_post2001-LC			NS-includes												0	0	F	BLACK			
NBNORG0000063207	NHMSYS0021049931	Animalia	Arthropoda	Malacostraca	Amphipoda	Uristidae	Onisimus	Onisimus caspius	(G.O. Sars, 1896)	Species					Y																																							0	0	F	BLACK			
NBNORG0000063208	NHMSYS0021049932	Animalia	Arthropoda	Malacostraca	Amphipoda	Uristidae	Onisimus	Onisimus platyceras	(G.O. Sars, 1896)	Species					Y																																							0	0	F	BLACK			
NBNORG0000016690	NBNSYS0000152714	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Onnia	Onnia tomentosa	(Fr.) P. Karst.	Species	Inonotus tomentosus;Polyporus tomentosus;Polystictus tomentosus;Trametes circinata;Trametes circinatus		Y																																									0	0	F	BLACK			
NBNORG0000031346	NBNSYS0000176841	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Onoba	Onoba aculeus	(Gould, 1841)	Species	Onoba arctica;Rissoa arctica;Rissoa saxatilis subsp. moller				Y							herbivore	herbivore	coastal	saline lagoon	aquatic: sparsely vegetated																												0	0	F	BLACK			
